review;sentiment_classification;Topico_Dominante;Porcentaje_Similitud
Best music platform but very buggy on Chromebook OS. Not loading half the time, I keep having to delete and redownload because when I start the app its a black screen with a gray bar on the side and it doesn't fix if I restart my laptop. Please fix soon.;positive;0;45.630001068115234%
what people don't like about this app is probably the adds. but that dose not mean 2 stars when its free, has every song you like, and its so easy to use!;positive;2;42.279998779296875%
it's a really good app. I just think it's annoying how they add random songs to my playlist;positive;2;61.27000045776367%
I'm rating spotify a 4-5 Because there are a lot of ads that Don't relate to me , And it's very annoying because I get the same ones every single dayyy! By otherwise It's a great app.Thank you to whoever made it!!!! ❤️;positive;2;50.41999816894531%
amazing;positive;0;58.33000183105469%
love music;positive;0;72.18000030517578%
superbbb;positive;0;16.670000076293945%
Edit: Upgrading to a 4 again because an update just happened and now everything is working fast and smoothly. maybe roll out updates more frequently because now I'm recognizing a pattern of slowness proceeding updates. so I will say the access to non-us bands is getting better however I'm not going to give a five-star rating because the compensation rate for artists is abysmal and this hurts a lot of the smaller/lesser known artists.;positive;1;66.56999969482422%
very good;positive;4;58.33000183105469%
it's a good to listen musice which can reduce strees and emotions;positive;4;45.40999984741211%
I get music once getting an account but the only problem is the amount of ads daily.;positive;1;58.279998779296875%
supar;positive;0;16.670000076293945%
♥️♥️;positive;0;16.670000076293945%
nice 👍;positive;3;58.33000183105469%
best;positive;0;58.33000183105469%
I love using this app for the fact I have all audio types in one app, but, I wish the android version had an equalizer integrated into the app just like the apple version does.;positive;2;39.599998474121094%
Good app. May lack a bit of improvement in app functionability in Playlist selection but it meets the minimum needs to play music.;positive;2;59.83000183105469%
wonderful app, I don't like that you can't change the little bar thingy at the bottom.;positive;2;50.84000015258789%
The normal was good, but then they just took the good stuff and put it on premium. Still great though👍.;positive;2;38.7599983215332%
amazing;positive;0;58.33000183105469%
really great app only reason it isn't 5 stars is because of the occasional bugs;positive;2;50.279998779296875%
love this app. Because I get to hear my music without all the damn commercials. here's to you Spotify ❤️;positive;0;45.619998931884766%
this is amazing 😍🤩;positive;0;58.33000183105469%
The best;positive;0;58.33000183105469%
I love this app but it kept pausing when I don't want it to hope this helps it has to much cussing in the songs;positive;2;57.59000015258789%
Wonderful, has many artists to choose from, able to create personal playlists The only thing that would improve the app would be a lyric translator.;positive;2;58.220001220703125%
I love Spotify, and use it regularly, but I've had problem with it lately (Writing as of March 10th, 2025.) Whenever I try to open the app on my Chromebook, it doesn't open fully, and only shows me the outlines of where content normally is. Sometimes I'll have to shut down my device, or delete the app, redownload it, and then enter my information back into it. It's not too much of a problem, but it is a minor inconvenience that largely diminishes my use of the app.;positive;2;39.209999084472656%
it said in a ad that there will 30 minute uninterrupted song,there was not a single song without the 30 minute uninterrupted ads. Fix this soptify.;positive;2;52.68000030517578%
love the scope of music;positive;0;72.18000030517578%
works well with premium. Otherwise, not all that good. However, the recommendations are terrible.;positive;4;51.97999954223633%
great app for streaming high quality music;positive;3;42.439998626708984%
bro less adds please;positive;4;61.9900016784668%
pretty good if you ignore it's annoying ads.;positive;4;83.31999969482422%
i would've rated this 5 stars but the app, spotify, just keeps on crashing on my ipad and i have to keep opening and closing the app for it to work. can you please tell me some possibilities on why the app keeps doing this? thank you and i hope this problem gets abolished.;positive;1;38.290000915527344%
In the new update, playlist scrolls back to beginning when we lock and unlock screen.;positive;1;64.69999694824219%
Just great;positive;2;58.290000915527344%
super hero;positive;3;58.33000183105469%
I've been having a problem loading on Chromebook.;positive;0;54.25%
having an issue with my spotify I chose a song and it plays but when I actually click song that's playing to open it wider it crashes;positive;2;82.29000091552734%
this is great;positive;2;58.290000915527344%
I get the songs I love;positive;2;33.529998779296875%
This app is alright but the ads come too frequently like after each song an ad comes out had it since 2023,ao please fix this 🙏;positive;1;44.97999954223633%
I like Spotify so much;positive;1;79.0999984741211%
best music app;positive;0;79.12000274658203%
Very good, but sometimes, when I press on a song or playlist, it starts playing another song which i didn't choose. that's just a problem;positive;2;67.94999694824219%
I love Spotify, there is just 1 problem I can't seem to play the snake game with my Spotify (it is updated) Please if ANYONE knows how to get it please let me know!;positive;1;83.5%
Go back to songs at least three times;positive;2;73.23999786376953%
good;positive;4;58.33000183105469%
excellent, I would have rate 5 but I'm a old user of Spotify, and am upset after I lost the free access for Spotify after the updates..;positive;1;65.3499984741211%
Great app. Minus one star because of the lack of basic music queue controls for non-premium users.;positive;2;60.599998474121094%
Creates an interesting user experience and has great sound. Style choices that don't really benefit the user have been made but overall it's a good app at best. The sound absolutely carries for me.;positive;5;30.309999465942383%
Too much of excessive ads just because of payment of premium;positive;1;62.9900016784668%
over adds introbted to the listings songs;positive;4;79.02999877929688%
I love Spotify but I like how it was before when you could have just pick one particular song that you want and it will play ,.....now we have to play the whole album to listen to the song you want to listen to .......but I feel that problem is because of premium.;positive;2;60.25%
I pay for the app and I love it but when the latest update comes out every time I click the bottom of the screen above the search bar to my song that I'm playing it kicks me out of the app.;positive;2;66.55000305175781%
the only problem is money;positive;1;72.18000030517578%
lots of advertisements...;positive;4;72.19000244140625%
ease of use. quality of streaming music could be better.;positive;5;28.079999923706055%
been a smooth experience since day one;positive;1;45.61000061035156%
Incredible;positive;0;58.33000183105469%
not bad👍;positive;4;58.279998779296875%
it's amazing and, easy to listen to music. my only problem is that it's not show the lyrics 🫤😮‍💨;positive;2;54.79999923706055%
I love this app but I hate the pop up which comes after every song . Also the ads which are nowadays too frequent.;positive;2;56.70000076293945%
better than pandora;positive;2;38.970001220703125%
Very good music and podcast applications, easy to create your favorite music, you can download it to your cell phone and then listen in office mode.;positive;2;44.369998931884766%
good but too expensive for music;positive;5;54.040000915527344%
𝑰𝒕 𝒅𝒆𝒍𝒊𝒗𝒆𝒓𝒔 𝒂𝒍𝒍 𝒕𝒚𝒑𝒆𝒔 𝒐𝒇 𝒎𝒖𝒔𝒊𝒄 𝒊 𝒘𝒂𝒏𝒕 , 𝒆𝒗𝒆𝒏 𝒕𝒉𝒆 𝒎𝒖𝒔𝒊𝒄 𝒕𝒉𝒂𝒕 𝒊𝒔 𝒏𝒐𝒕 𝒐𝒑𝒆𝒏 𝒕𝒐 𝒐𝒕𝒉𝒆𝒓 𝒎𝒖𝒔𝒊𝒄 𝒓𝒆𝒍𝒂𝒕𝒆𝒅 𝒂𝒑𝒑𝒔 𝒐𝒓 𝒑𝒍𝒂𝒕𝒇𝒐𝒓𝒎𝒔.... 𝑺𝒑𝒐𝒕𝒊𝒇𝒚 𝒊𝒔 𝒕𝒉𝒆 𝒘𝒂𝒚 𝒕𝒐 𝒈𝒐 !!;positive;0;16.670000076293945%
Worst , will better shift to other apps;positive;1;64.27999877929688%
it's nice;positive;3;58.33000183105469%
Spotify has almost every song in the world.its awesome 👌👌💜;positive;2;29.09000015258789%
goog;positive;0;16.670000076293945%
would be 5 star if it wouldn't crash ever time I click the bottom to show what song is playing;positive;2;57.79999923706055%
Update on May 2025: Version 9.0.44.478. I recently updated Spotify, and after this update, whenever I use Now Playing View, the app Shuts Down evertime even after closing the app and retarting my phone. I also tried uninstalling and reinstalling the app, but it still doesn't work. Developers, Please fix this problem.;positive;2;49.41999816894531%
good music 🎵 application that provide off screen playing very good app must download;positive;2;36.27000045776367%
nice songs:);positive;3;38.88999938964844%
do not have the latest songs want to change to YouTube but was lazy got have to save my songs again;positive;2;76.97000122070312%
very good experience but without ads it will be more 👍;positive;4;83.25%
ok but I can't search on A song and get the same song but others;positive;2;74.5999984741211%
very nice experience 😃;positive;3;38.88999938964844%
must use app best app for music I like all the other ones but this one is the top for me but 30$ A MONTH FOR PRIEMIUM THATS A SCAM DUDE;positive;1;39.59000015258789%
Spotify is a great music-listening app. Although its platforms are very well organized, youtube music has more variety of songs that Spotify does not have. And although Spotify on my tablet works perfectly fine, it has some technical issues on my phone. Whenever I try to choose a song on my phone, Spotify would play another random song--the one I did not choose. So I only listen to Spotify on my tablet.;positive;2;44.209999084472656%
I love Spotify so much I literally use it EVERY DAY. However, before I bought premium, there was quite a few adverts. Every few songs there were adverts. BUT you can get more or less a the songs there are and it's genuinely just a great app. I recommend. 👍👍;positive;2;54.150001525878906%
if I get something free than it will be fun;positive;1;27.170000076293945%
I will not pay up;positive;1;58.33000183105469%
ui needs to catch up with apple music. The lyrcis on the apple music are so much better, and the animation looks really good. There's no light mode as well, and you can't even see what friends are listening to on android. spotify is missing much more in their android app compared to the desktop version.;positive;2;52.150001525878906%
excellent;positive;3;58.33000183105469%
After the latest android version of One UI 7.0, the screen goes to sleep when listening to music & also when driving. then i need to login back in phone to change song. Could it be because i am in power saving mode? Please fix, Thank you for your time.;positive;2;74.16999816894531%
Best app for playing music it creates Playlist for you that matches your likes but sometimes it just stops;positive;2;45.0%
Amazing and easy interface, quality audio but the fact all goodies were left for premium subscribers and can't seem to play once iim on VPN gave an ick so 4stars;positive;1;46.11000061035156%
v good music 🎵🎶 there are lots of ads;positive;4;52.779998779296875%
"best music app ever... i hope they remove limitation to our country ""iran"" so we dont need to use vpn anymore";positive;1;32.08000183105469%
I love the app so much and the app is so good but I rate it 4 because in the liked songs when I want to play a song the app say you must go premium this so annoying to me but still I love the app;positive;2;36.709999084472656%
its an amazing app for podcasts and music but,there is one thing that bothers me a lot infinite adds are there, place change the system.;positive;2;40.7599983215332%
cooollllllll;positive;0;16.670000076293945%
it is good but we have to pay premium for arranging the song according we want;positive;1;53.779998779296875%
very relaxve;positive;0;16.670000076293945%
kozappam illa .but ad ind;positive;4;58.33000183105469%
it's a very both nice and easy to use app;positive;5;45.599998474121094%
I love it but I just don't like the adds 😅;positive;5;58.88999938964844%
I don't need to explain why this is an amazing app😎;positive;4;51.040000915527344%
just pay from premium and enjoy good music;positive;1;35.22999954223633%
excellent;positive;3;58.33000183105469%
good;positive;4;58.33000183105469%
"Y'all need to fix this app. It glitches out now and continuously crashes when trying to bring up the ""Now Playing"" window from the bottom bar.";positive;2;45.11000061035156%
I can not see queue in my smart watch;positive;1;61.36000061035156%
Ecstatic.;positive;0;16.670000076293945%
this app is good, sorry not good but best but it has a problem it is that this app just what plays your songs and plays its own songs I don't like it that much but it is good;positive;4;42.52000045776367%
great app in overall but there is a hugeeee problem, for people broke like mee can't afford premium so I'm not asking to stop ads instead I'm asking to reduce the number of ads as a person who uses Spotify for hours daily. ALSO GIVE US A FREE TRIAL OF SPOTIFY PREMIUM;positive;1;49.9900016784668%
nice... very amazing especially when you subscribe to a plan;positive;1;51.97999954223633%
pls no ads;positive;4;72.22000122070312%
good app but not offline;positive;4;79.08000183105469%
very nice;positive;3;58.33000183105469%
super cool;positive;3;38.88999938964844%
Great having musi. when you want.;positive;2;72.19999694824219%
everything is good but too many ads, like at least make non subscribers have some peace with the ads 😭😭😭😭;positive;4;72.26000213623047%
I love Spotify but it was asking me to to pay them to listen to a song of my own choice BC I was using Spotify for to long that it started playing different songs from all my playlists which I didn't like BC it was playing songs that I don't really like anymore. I have been using this app for so many years and love it;positive;2;39.25%
nice;positive;3;58.33000183105469%
Less ads please.;positive;4;54.13999938964844%
💓;positive;0;16.670000076293945%
It's fine and fun to use❤;positive;1;54.04999923706055%
very good 😊;positive;4;58.33000183105469%
easy to use;positive;5;72.20999908447266%
The app is way better than the spotify AB you can play your own music they way you like it. just that ads are ads;positive;1;50.380001068115234%
a part from commercial listening is good;positive;4;55.540000915527344%
this app helps me live in this earth ,,,,, m I'm so sad;positive;2;49.130001068115234%
so.loud voice very nice👍😊;positive;4;54.150001525878906%
Very good;positive;4;58.33000183105469%
it's gud if you have premium;positive;1;38.88999938964844%
greatful Spotify;positive;1;58.22999954223633%
best music quality and premium plans is best for music lovers I like Spotify;positive;0;40.13999938964844%
Spotify is good 😊 place to learn song and listen 💜;positive;4;35.5099983215332%
great app for the music;positive;0;43.70000076293945%
Last updated was the worst update ever I can't backward and forward the song without premium this is f*ckig update on Spotify 🤬;positive;1;75.16000366210938%
good music service.;positive;4;49.16999816894531%
too much ads but amazing;positive;0;54.13999938964844%
I keep being pushed out of the app saying it's not responding. the music Stull plays but when I go to the app it kicks me out while it's playing! I restarted, uninstalled and cleared cache. I updated it and it acted the same aswell. I hope there can be a bug fix!;positive;2;64.76000213623047%
Good, Like👍;positive;4;71.9800033569336%
Great but liked songs. I swear some of them I already liked aren't liked;positive;2;88.08999633789062%
I love to listen on Spotify :3 but.. I hate ads..;positive;0;63.83000183105469%
Nothing to tell;positive;2;72.02999877929688%
a music listening software;positive;5;72.04000091552734%
it's good when you can actually listen to the songs you want to listen to;positive;2;70.86000061035156%
brih stop playing with me. I can't see My liked songs. even though I have 318;positive;2;68.56999969482422%
good;positive;4;58.33000183105469%
This app is amazing based on the song selection and library with millons of artists uploading songs on the app, but my only problems are the limited usage on the app for those with free accounts. I've had moments of frustrations when I run out of hourly skips or get restricted from listening to songs without a daily limit, my third problem is we can't change our listening modes so it's annoying when smart shuffle plays songs that don't match the vibe. In general, desktop version is better.;positive;2;37.470001220703125%
i like it;positive;1;58.18000030517578%
It's an amazing app but there are adds almost every song;positive;2;51.45000076293945%
good;positive;4;58.33000183105469%
good;positive;4;58.33000183105469%
the app won't open on my galaxy 22, might be an outage but it's seriously annoying;positive;4;36.91999816894531%
nice app;positive;3;72.0999984741211%
"Great, generally love it but the placement (and, honestly, the existence) of the new ""Create"" button is just silly.";positive;5;41.38999938964844%
good;positive;4;58.33000183105469%
wonderful;positive;1;58.33000183105469%
good player in music;positive;3;54.06999969482422%
Hiding songs in playlists is useless. Hopefully, they fix this in succeeding updates.;positive;1;44.619998931884766%
I LOVE this app although, premium is very expensive and I feel like non-premium users should get to pick what song they play. I always find this an issue when trying to play a song I like but it plays a complete different song? Please add the feature for non-premium users to actually PICK the song they want like premium users!;positive;2;50.66999816894531%
Good;positive;4;58.33000183105469%
it's nice but the ads;positive;3;38.88999938964844%
As for my experience it won't look up certain songs but when you do find the song or artist I haven't been able to add songs to a Playlist unless I add a group of songsso I can't make a personalized Playlist to listen to- either that or I just haven't figured it out yet lol;positive;2;76.12999725341797%
like;positive;1;58.18000030517578%
If yall don't stop giving me adds every single song, I'm switching to apple music;positive;2;92.37000274658203%
gud;positive;5;58.33000183105469%
Loved this, definitely helps to have premium if you are rural AF like us so you can download playlists, but even standard users will love this;positive;1;62.33000183105469%
My app is closing itself when i click on the current music playing, and when the panel with the buttons and disk cape shows up, the app simply closes without a warning, can you guys please fix this? I can still listen to music but it's kinda annoying to avoid clicking it so the app doesn't close on its own.;positive;2;68.58999633789062%
nice music app;positive;3;79.04000091552734%
Heartsoothing.;positive;0;16.670000076293945%
tralalala tralala 🦈👟;positive;0;16.670000076293945%
the best;positive;0;58.33000183105469%
pretty good with premium trash without it doesn't pay the artists fairly;positive;1;64.63999938964844%
it's a great app but it has once malfunctioned completely but after I uninstall it and installed a new version it has stopped;positive;2;78.91999816894531%
it's good but all the ads mixed with them constantly telling me to get premium gets annoying;positive;1;38.45000076293945%
much better now. love the AI DJ;positive;1;64.37000274658203%
The app is great if you have premium and I do but recently the genre tabs on my liked songs stoped working and I couldn't play any of my liked songs so I ended up deleting and redownloading the app. Now the genre tabs don't show up at all but now the genre tabs don't even show up.;positive;2;90.19000244140625%
I like it because it's shuffle house my feeling when I feel sad song was start when I feel happy song was start but I don't like that advertisement comes again and again and again.;positive;2;48.290000915527344%
Very good music app for listening to music but find seeing the lyrics should not be a premium feature (edited, and they've done just that, thanks Spotify!);positive;2;47.650001525878906%
Easy to find songs or artists.;positive;2;57.56999969482422%
I like it;positive;1;58.16999816894531%
It's back to working normally. It was weird, but im glad to be listening to my playlists.;positive;2;89.54000091552734%
this app will help me to cover depression;positive;2;79.06999969482422%
It's good but stopped opening for some reason when I tried opening it.;positive;1;35.72999954223633%
This is almost my perfect go to music app. The only thing bugging me is that Podcasts that you haven't watched for some reason get plastered all over your recommendations or in your New Episodes area, which should ONLY be for the podcasts you actually watch, not ones you've scrolled past while looking for a new one to watch. Now I got all these inappropriate podcasts that I've never watched on my front page, and how am I supposed to explain that to my parents, huh?;positive;1;45.18000030517578%
Why would you hide the most basic features behind paywalls. That's kinda rude. I literally would like to be able to RESTART A PLAYLIST TOO THANK YOU?? I DON'T WANT TO CONTINUE FROM WHERE I WAS IF I PURPOSELY EXIT A PLAYLIST.;positive;2;79.11000061035156%
Spotify gives 100% vibes;positive;1;79.1500015258789%
Great app for music but wish I could find some lesser bands on here like Blondz or Bonfire;positive;2;90.69000244140625%
"the music is good yes but spotify: ""after this advert you yet 30 mind of free listening!"" 1 song goes by and another advert bro???";positive;2;53.060001373291016%
The only things id like to have in this app is other versions of certain songs, and without ads it's the best music app in my opinion;positive;4;35.060001373291016%
music is great;positive;2;51.86000061035156%
I'm a dancer;positive;0;16.670000076293945%
Nice;positive;3;58.33000183105469%
great promotion tool, but has nothing on SoundCloud and the compressor is too much lol;positive;2;83.23999786376953%
op;positive;1;58.33000183105469%
I'm music loved;positive;1;39.11000061035156%
good;positive;4;58.33000183105469%
you shouldn't have to pay money to play a playlist Spotify makes enough with the subscription service for ad-free;positive;1;58.54999923706055%
great and easy to use app;positive;5;56.40999984741211%
Nice App To Listening Whole World Songs;positive;3;55.310001373291016%
good 👍;positive;4;58.33000183105469%
The app is truly great, it has everything from songs to music from video games. The only reason why I gave a 4 star is because I can't choose what song I want to play and I skip many songs. Adds I can deal with but I would like to skip or play any song I want, I apologize for if this sounds demanding or selfish. But in the great scheme of things, this is truly a great app!;positive;2;63.709999084472656%
decent music streaming app, but its algorithm needs improvement in terms of creating personalized playlists. Those playlists can be hit or miss. Hopefully the app will incorporate AI features more.;positive;5;47.529998779296875%
the app is good but there has been a problem with my account the Playlists are not loading up and they are empty why?;positive;1;41.709999084472656%
Its Just That Opera House Studio That I Would Recommed To Every Soul Looking For A Lyrical Aveune;positive;2;86.0999984741211%
"I'd recommend an algorithm like apple music in where when listening to an artist it says ""artists similar to said artist""";positive;1;67.94999694824219%
Home of music.;positive;1;39.099998474121094%
good experience but plz less ads;positive;4;68.77999877929688%
the podcast option is really cool, some podcast come with videos and I enjoyed that feature :);positive;1;44.43000030517578%
"I feel there are TOO many adds for non subscription users. don't misunderstand i get that the content needs to be paid/for sponsored but I'll watch/listen to like 3 minutes of add to get ""30 minutes of music uninterrupted"" and then after 1 (one) 3-5 minute song I have another set of 3 or adds... otherwise I do actually love the app very much I can search easily and transition between my preferences easily as well.";positive;2;53.15999984741211%
only thing it won't let me download on my other phone?;positive;1;64.02999877929688%
excellent 👍;positive;3;58.33000183105469%
great;positive;2;58.290000915527344%
app of the day ever used for any occasion;positive;0;83.2699966430664%
Awesome and thank you for the playlists;positive;0;54.15999984741211%
very very nice app one stop for all language songs;positive;2;53.290000915527344%
only some songs do not have lyrics other wise this app is good👍👍👍;positive;2;54.290000915527344%
i just hate the ads, e'ry time i skip there's a add;positive;4;43.560001373291016%
it keeps crashing help;positive;5;30.06999969482422%
Good;positive;4;58.33000183105469%
the app is not good, but Spotify is still the best music streaming platform;positive;0;65.93000030517578%
it's good but I can't use it offline and sometimes it's limit is ending bul whatever this is too good👍👍👍;positive;2;41.11000061035156%
cool.;positive;0;58.33000183105469%
I like it, but I always have issues when going from listening to my Playlist in my office, then go to my car, it starts over from when I stopped listening in my car before I got to the office. I deal with it but it's quite annoying.;positive;2;84.66999816894531%
Nice;positive;3;58.33000183105469%
Great app, superb but there are some glitches with Samsung notification music player that makes it lag(5-10 or even 30s after you click next pause or previous) before the action works. Also, I get that the monthly wrapped feature is already under your radar but where is it already!;positive;2;46.7599983215332%
listen to music frequently and keeps me occupied when I don't want to sit in silence but DJ X always talks bout showing me something new or similar and every time it's the same stuff from my liked playlist.;positive;1;56.869998931884766%
beautiful leave free to download;positive;0;63.279998779296875%
amazing music. the thing keeping me from giving 5 stars is the fact that choosing songs requires premium.;positive;2;40.22999954223633%
I rate this 4 star not 5 because I don't know what it is like without premium but with premium it is definitely 5 star;positive;1;91.62000274658203%
good;positive;4;58.33000183105469%
i LOVE this. this is the best way to listen to music and you can share with friends and you can follow them and share music with people who have the same vibe.;positive;5;36.939998626708984%
Im able to open the app and chose music from my Playlist but when I try to tap on the song that's playing it pushes me out immediately;positive;2;91.62000274658203%
Great overall experience with the app. My only issue is that sometimes, when I'm skipping through songs, the app will just freeze, failing to play anything, and I'd have to restart the all for it to start working again;positive;2;71.16999816894531%
great app but greedy owner;positive;2;72.0199966430664%
my life;positive;0;58.33000183105469%
nice;positive;3;58.33000183105469%
I love it;positive;0;58.31999969482422%
I loveed using this app as it is super good at comes in between but that is variable and in the end this is just wonderful app a must try;positive;1;50.369998931884766%
"time to add ""comments section""";positive;2;52.5099983215332%
needs to stop giving us too much ads;positive;1;52.16999816894531%
pretty good app,good recommendations, and so many nice features but not for the ads. so wanna break from the ads but either way with the family and premium subs no complaints try it out for yourself 4.5 stars;positive;4;44.650001525878906%
If you don't have premium, it's garbage. If you listen to only podcasts on the free version, you only get the ads that are implemented into the epidsode if there are any. 6 3-4 ads every 2-3 songs. you can't pick the song, and you only get like 2 skips. absolute garbage. But if you have premium like myself, then it's an amazing app with lots of cool features and traits.;positive;2;34.380001068115234%
perfect for the way home;positive;1;79.12000274658203%
very good;positive;4;58.33000183105469%
Nice app;positive;3;72.11000061035156%
fatatic;positive;0;16.670000076293945%
other than the messy settings great app;positive;2;79.06999969482422%
This is a very good and useful app, everyone's favourite songs, thanks;positive;4;32.66999816894531%
love this app;positive;0;72.16999816894531%
plenty room for improvement.....;positive;2;72.12000274658203%
outstanding.;positive;3;58.33000183105469%
"It's nice to have an app that can play in the background. But sometimes it stops randomly and then the song says ""Please try again later"". Then the song never works until the end of the day.";positive;1;53.630001068115234%
best songs;positive;0;38.88999938964844%
Exploring 💕;positive;0;16.670000076293945%
only one thing is the reason for I hate this app is its premium;positive;2;54.15999984741211%
I don't like mixing artist when I play songs;positive;2;83.27999877929688%
so good aap mi have a Instll the aap;positive;4;63.349998474121094%
premiums only worth it if you're a student or if you get a deal;positive;1;51.22999954223633%
adds problem;positive;4;72.04000091552734%
it's getting worse with every update and the ads are getting more while the free functions are getting less;positive;1;65.16999816894531%
I love this app. it's great for music. but I keep having problems with it suddenly cutting off whenever I'm playing a song. it's still a good app tho.;positive;2;42.439998626708984%
this app was pretty good i recommend downloading it;positive;4;62.13999938964844%
goood stuff;positive;4;72.19999694824219%
This app is good but without premium it's like not good especially when it's requesting you to buy premium in order to repeat your fav part of the song or just change the song but overall it's good;positive;1;29.729999542236328%
Keeps stopping during songs, either on Wi-Fi or on my phone internet, through the car, my phone or speakers. I need to keep closing the app and restarting it. I can happen up to 3 or 4 times a song! I'm happy to pay for a service provided the service actually delivers but it's so glitchy these days, its actually a pleasant surprise to have a couple of songs run through without stopping. Hoping an update fixes it otherwise I'm off to find a new streaming service.;positive;2;66.19999694824219%
it is very good but I wish they brought back the after the add you get the thirty minutes of uninterrupted listening to music;positive;2;64.72000122070312%
easy listening when needed;positive;5;79.12999725341797%
I use this app a lot but the widget never saves what I'm playing atm and goes to the same display every time after closing it.;positive;2;61.209999084472656%
mason finlay 5;positive;0;16.670000076293945%
Cool;positive;0;58.33000183105469%
it's a great app! the only thing is that it takes up a LOT of space and I can't have much other apps or games. Otherwise, 10/10.;positive;2;70.23999786376953%
too good app but let it free pls because I'm poor I'd have money;positive;4;64.5199966430664%
I love this app. it lets me play all my favorite songs and artists. however, there are some things I don't like how I can't skip back to the song I played prior, and I can't have the same song play over and over again or have my playlists shuffle the songs like I can on my tablet and that is very frustrating but other then that I love this app I highly recommend it;positive;2;48.529998779296875%
I LOVE IT.. I just don't like how you gotta pay for most things. And there is alwaysss an ad. But really it's good.;positive;4;51.5099983215332%
👍;positive;0;16.670000076293945%
simple to use;positive;5;72.20999908447266%
I rate it r Star because some of my local favourites are not available.. otherwise I really enjoyed Spotify so far.;positive;4;43.130001068115234%
Very good app, great pricing, and good features. The app is asking me to accept cookies about 50% of the time I open it, and it will keep asking even though I'm accepting. Apart from that it's excellent.;positive;1;39.349998474121094%
add breaks are more than needed otherwise its 11/10 .....plus lyrics should be shown cause in most of songs lyrics it's available.... and rn too I'm using spotify. .... u slayy💅have a nice day🌸🌸;positive;2;48.0%
One of my favorite music streaming apps, this one and YouTube music. Needs a play next button, queue is ok but play next button is better. still needs a play next button to accompany queue button.;positive;1;74.81999969482422%
Having an issue where Spotify randomly closes completely and stops playing. please fix.;positive;1;91.62999725341797%
"Love music? You need this. This is such an incredible app. It is innovative, well-designed and SO clever. To say it has ""changed my life"" sounds OTT, but it kinda has. 😉 I love music! Spotify has such a clever algorithm, that with my guidance of ""yes"" and ""no"" as to my taste in music, it plays stuff that gives me goosebumps. If it uses its imagination too much, I can just say ""no"", I don't like that and I don't hear that - or that style - again. I love it. SO impressed!";positive;0;50.2400016784668%
I love bec there's all the music on it 🌹!!;positive;0;72.18000030517578%
it's good but I wish I could pick the song;positive;2;66.87000274658203%
only ads problem best without ads;positive;4;69.37999725341797%
I love my Spotify. I have been with them since the beginning. They have grown and added new products, I do have the premium and it is worth the extra. Being able to download and use the music offline has made many a boring Dr wait much more tolerable. The audio books are a bit annoying but the podcasts make up for it.;positive;1;41.61000061035156%
It's awesome accept someone songs I wanted to listen to were not there or perhaps I didn't look hard enough, but it has great algorithm;positive;1;43.41999816894531%
it is good but download option is only for premium;positive;1;62.790000915527344%
Spotify is very good application;positive;4;54.29999923706055%
It is very nice app but there is a lot of ads;positive;4;54.790000915527344%
smooth and updated I rest my case;positive;4;54.18000030517578%
Best musical app so far but can do more regarding PLAY NEXT TRACK;positive;1;38.279998779296875%
this app is excellent 👍 I love it;positive;0;46.560001373291016%
pretty good. search bar stinks;positive;2;47.65999984741211%
very good 👍;positive;4;58.33000183105469%
Bug's when connect with Alexa;positive;2;72.20999908447266%
best for song very nice and nice song in hindi song lyrics is verry good;positive;2;39.97999954223633%
It's good and convenient;positive;4;38.88999938964844%
okii👍;positive;0;16.670000076293945%
good quality but too many ads;positive;4;63.689998626708984%
it's so good;positive;4;58.33000183105469%
it keeps on saying thatI don't have internet;positive;2;57.38999938964844%
LOVE what you guys are doing, this app is a game changer in the world of music!! And I'm wondering.... whatever happened to the 'On Repeat' feature?? One of my favourite things on this app has been missing the last few updates. Any chance of restoring it?;positive;1;31.989999771118164%
l feel good;positive;1;54.15999984741211%
i have a premium account on spotify. amount is autodebited everymonth. but i forget details about my account how can i loginto my premium account;positive;1;89.56999969482422%
casual was better than expected;positive;2;38.939998626708984%
4 because there are way too many ads but the app is good. You gotta make sure to buy premium for a better experience. 👍;positive;4;50.099998474121094%
s aaaasaasassas seee hai;positive;5;58.290000915527344%
the app is great not going to lie but I honestly think that the ads should be removed and the features from premium should be put on to the standard version;positive;2;46.290000915527344%
Frequenci needs to fixed to 432, other than that 4 stars. Good Service Selection;positive;1;41.65999984741211%
Good;positive;4;58.33000183105469%
I would love it if my podcasts wouldn't be automatically added to the queue. Especially when I can't access my phone and just want to listen to music. otherwise really enjoy the platform.;positive;2;60.91999816894531%
Please remove the skip times Thank you for your reply 🙂;positive;1;68.66999816894531%
Always happy Spotify 😊😊;positive;1;53.9900016784668%
very reliable;positive;5;58.33000183105469%
It's so amazing like I use it more often than yt music it's amazing but the premium is expensive.;positive;1;44.81999969482422%
Omo not gonna lie sporfy dey try. despite me not using premium;positive;1;49.29999923706055%
excellent;positive;3;58.33000183105469%
Good experience;positive;4;72.04000091552734%
I just have a problem with the size of the lyrics when sharing. it was perfect before,until recently they made it big;positive;5;39.560001373291016%
personally I love Spotify but suddenly one day which is today all my 250+ liked songs went missing but I don't listen to those anyways so I'm fine but my favourite playlist also went empty and I tried adding my songs again but it doesn't show it only says add new songs and Spotify pls help because my internet is good so I don't think it's a problem on my side I'm actually crying rn also my other favourite playlists went missing pls help inured uninstalling the app and redownlowding it😭😭🙏;positive;2;51.939998626708984%
